url,住所,書店名称,郵便番号,都道府県,電話番号
http://www.coachandfour.ne.jp/,北海道札幌市北区新川三条18丁目1-1,コーチャンフォー新川通り店,〒001-0923,北海道,011-769-4000
http://www.coachandfour.ne.jp/,北海道札幌市清田区美しが丘一条5丁目2-1,コーチャンフォー美しが丘店,〒004-0811,北海道,011-889-2000
http://yushodo.maruzen.co.jp/,北海道札幌市手稲区前田七条15-4-1 北海道工業大学図書館1F,丸善キャンパスショップHIT店,〒006-8585,北海道,011-688-0017
http://store-tsutaya.tsite.jp/storelocator/detail/0270.html,北海道函館市石川町85-1,蔦屋書店函館店,〒041-0802,北海道,0138-47-3771
http://www.books-sanseido.co.jp/,北海道札幌市中央区北五条西2-5 JRﾀﾜｰ札幌ｽﾃﾗﾌﾟﾚｲｽ5F,三省堂書店札幌店,〒060-0005,北海道,011-209-5600
http://www.kinokuniya.co.jp/,北海道札幌市中央区北五条西5-7 sapporo55,紀伊國屋書店札幌本店,〒060-0005,北海道,011-231-2131
http://honto.jp/store/detail_1570046_14HB320.html,北海道札幌市中央区南一条西1-8-2 丸井今井南館内,MARUZEN＆ジュンク堂書店札幌店,〒060-0061,北海道,011-223-1911
http://www.yodobashi.com/,北海道札幌市北区北六条西5-1-22,ヨドバシカメラ札幌店,〒060-0806,北海道,011-242-1010
http://www.coachandfour.ne.jp/,北海道札幌市豊平区中の島一条13-1-1,コーチャンフォーミュンヘン大橋店,〒062-0921,北海道,011-817-4000
http://honto.jp/store/detail_1570068_14HB320.html,北海道旭川市1条通8丁目108番地 ﾌｨｰﾙ旭川1-5F,ジュンク堂書店旭川店,〒070-0040,北海道,0166-26-1120
http://www.coachandfour.ne.jp/,北海道旭川市宮前1条2丁目4番1号,コーチャンフォー旭川店,〒078-8391,北海道,0166-76-4000
http://www.zahon.jp/,北海道帯広市西四条南12-3 長崎屋帯広店4F,喜久屋書店帯広店,〒080-0014,北海道,0155-66-7799
http://www.coachandfour.ne.jp/,北海道釧路市春採7-1-24,コーチャンフォー釧路店,〒085-0813,北海道,0154-46-7777
http://www.coachandfour.ne.jp/,北海道北見市並木町523,コーチャンフォー北見店,〒090-0012,北海道,0157-26-1122
http://www.todabooks.co.jp/,青森県青森市浜田字玉川196-11,戸田書店青森店,〒030-0843,青森県,017-762-1815
http://honto.jp/store/detail_1570101_14HB320.html,青森県弘前市土手町49-1 中三百貨店弘前店6F･7F,ジュンク堂書店弘前中三店,〒036-8182,青森県,0172-34-3131
http://www.ikichi.co.jp/,青森県八戸市河原木字神才6-1,伊吉書院西店,〒039-1161,青森県,0178-28-8211
http://honto.jp/store/detail_1570037_14HB320.html,岩手県盛岡市大通2-8-14 MOSSﾋﾞﾙ3F･4F,ジュンク堂書店盛岡店,〒020-0022,岩手県,019-601-6161
http://www.marukan-group.jp/msexpo/,岩手県盛岡市みたけ3-36-1,エムズエクスポ盛岡店,〒020-0122,岩手県,019-648-7100
http://store-tsutaya.tsite.jp/storelocator/detail/0424.html,岩手県盛岡市本宮4-40-20,蔦屋書店盛岡店,〒020-0866,岩手県,019-656-4747
http://honto.jp/store/detail_1570020_14HB320.html,宮城県仙台市青葉区中央3-6-1 仙台TRﾋﾞﾙB1F,ジュンク堂書店仙台ＴＲ店,〒980-0021,宮城県,022-265-5656
http://honto.jp/store/detail_1577780_14HB310.html,宮城県仙台市青葉区中央1丁目3-1 AER1F,丸善仙台アエル店,〒980-6101,宮城県,022-264-0151
http://booksyamatoya.co.jp/mitsukoshi/,宮城県仙台市青葉区一番町4-8-15 仙台三越定禅寺通り館B2F,ヤマト屋書店仙台三越店,〒980-8543,宮城県,022-393-8541
http://www.topculture.co.jp/,宮城県仙台市泉区大沢2-12-4,蔦屋書店仙台泉店,〒981-3137,宮城県,022-772-2011
http://booksyamatoya.co.jp,宮城県仙台市泉区長命ヶ丘2-21-1 BRANCH仙台内,ヤマト屋書店長命ヶ丘店,〒981-3212,宮城県,022-342-0611
http://www.yodobashi.com/,宮城県仙台市宮城野区榴岡1-3-1,ヨドバシカメラ仙台店,〒983-0852,宮城県,022-295-1010
https://honto.jp/store/detail_1570039_14HB320.html,秋田県秋田市千秋久保田町4-2 秋田ｵｰﾊﾟ6F,ジュンク堂書店秋田店,〒010-0874,秋田県,018-884-1370
http://www.miyawakishoten.com/,秋田県秋田市中通2-8-1 ﾌｫﾝﾃ秋田店5F,宮脇書店秋田本店,〒010-8522,秋田県,018-825-5515
